"Categoría,Alimento"
"Lácteos,Yogur entero"
"Lácteos,Yogur descremado"
"Lácteos,Port Salut descremado"
"Lácteos,Leche entera"
"Lácteos,Leche descremada"
"Lácteos,Leche deslactosada"
"Lácteos,Queso untable entero"
"Lácteos,Queso untable descremado"
"Lácteos,Queso untable bajo sodio"
"Frutas,Banana"
"Frutas,Manzana"
"Frutas,Pera"
"Frutas,Limón"
"Frutas,Melón"
"Frutas,Sandía"
"Frutas,Palta"
"Frutas,Frutillas"
"Frutas,Arándanos"
"Frutas,Ciruela"
"Frutas,Naranja"
"Frutas,Mandarina"
"Frutas,Cerezas"
"Frutas,Pomelo"
"Frutas,Durazno"
"Frutas,Ananá"
"Frutas,Uvas"
"Frutas,Mango"
"Frutas,Kiwi"
"Frutas,Membrillo"
"Cereales y legumbres,Trigo Burgol"
"Cereales y legumbres,Quinoa"
"Cereales y legumbres,Arroz blanco"
"Cereales y legumbres,Arroz integral"
"Cereales y legumbres,Arroz Yamani"
"Cereales y legumbres,Fideos blancos"
"Cereales y legumbres,Fideos integrales"
"Cereales y legumbres,Fideos de legumbres"
"Cereales y legumbres,Avena"
"Cereales y legumbres,Mijo"
"Cereales y legumbres,Pan blanco"
"Cereales y legumbres,Pan integral"
"Cereales y legumbres,Granola"
"Cereales y legumbres,Lentejas"
"Cereales y legumbres,Porotos"
"Cereales y legumbres,Garbanzos"
"Cereales y legumbres,Soja"
"Vegetales,Cebolla"
"Vegetales,Ajo"
"Vegetales,Marrón"
"Vegetales,Berenjenas"
"Vegetales,Zapallitos"
"Vegetales,Remolacha"
"Vegetales,Zanahoria"
"Vegetales,Batata"
"Vegetales,Papa"
"Vegetales,Choclo"
"Vegetales,Lechuga"
"Vegetales,Rúcula"
"Vegetales,Repollo"
"Vegetales,Brócoli"
"Vegetales,Coliflor"
"Vegetales,Repollitos de Bruselas"
"Vegetales,Pepino"
"Vegetales,Zapallo"
"Vegetales,Acelga"
"Vegetales,Espinaca"
"Proteína animal,Huevos"
"Proteína animal,Atún"
"Proteína animal,Pollo"
"Proteína animal,Ternera"
"Proteína animal,Cerdo"
"Proteína animal,Pescado"
"Grasas saludables,Frutos secos"
"Grasas saludables,Semillas"
"Grasas saludables,Aceite oliva"
"Grasas saludables,Aceite girasol"
"Grasas saludables,Aceite maíz"
"Grasas saludables,Pasta de maní"
"Otros,Sin especificar (Otros)"
